epoch,accuracy,loss,val_accuracy,val_loss
0,0.17885265,6.298295148446133,0.21989528834819794,1.7904195161390055
1,0.1912261,1.7932528622104829,0.20680628716945648,1.7894283670405442
2,0.22047244,1.7926408446679905,0.20680628716945648,1.788225605225688
3,0.22272216,1.7875669685069837,0.20680628716945648,1.787346670764903
4,0.22047244,1.7863942557700707,0.20680628716945648,1.7860961010318777
5,0.2215973,1.7846117609665553,0.20680628716945648,1.7853047541922924
6,0.2215973,1.7836387350535097,0.20680628716945648,1.7843190000943487
7,0.2215973,1.7825131331841777,0.20680628716945648,1.7835994010196305
8,0.22272216,1.7814816700460137,0.20680628716945648,1.7833092574673797
9,0.2215973,1.7814543978033506,0.20680628716945648,1.7826127912361585
10,0.2215973,1.7802046923589117,0.20680628716945648,1.7821207651917224
