epoch,accuracy,loss,val_accuracy,val_loss
0,0.21934758,3.4011539936870236,0.12303665280342102,3535.5864372852584
1,0.25309336,1.7661532055004108,0.11780104786157608,409.1585113365613
2,0.26434195,1.7412771075058842,0.11780104786157608,112.2556656043567
3,0.2654668,1.6948496512272495,0.21989528834819794,2.9997268459559736
4,0.28121483,1.6463099428451504,0.21989528834819794,1.9673236383817583
5,0.3239595,1.5540983769435046,0.1335078477859497,505.0587286025442
6,0.3712036,1.4442848972850495,0.14921465516090393,756.5489763988875
7,0.43869516,1.3523915279300462,0.1518324613571167,704.9405881871728
8,0.48031497,1.289758298340745,0.21727748215198517,5.210637759163742
9,0.46681663,1.2745273862834454,0.1335078477859497,379.6432296992597
10,0.5005624,1.2385123663731716,0.1335078477859497,337.73681944203
11,0.5253093,1.158568812033457,0.11256544291973114,3.217228106803295
12,0.5365579,1.1154939224534952,0.1335078477859497,270.13956343565934
13,0.49718785,1.2148513836855293,0.1335078477859497,1670.922393958606
