epoch,accuracy,loss,val_accuracy,val_loss
0,0.20584927,20.988866180215027,0.2041884809732437,1.8074835195591312
1,0.21822272,2.1034494702807964,0.20680628716945648,1.790787343579437
2,0.2215973,1.7912376066428872,0.20680628716945648,1.7893411445368024
3,0.2215973,1.7896251560464351,0.20680628716945648,1.7882145805508678
4,0.2215973,1.788083834910956,0.20680628716945648,1.7870554443429278
5,0.2215973,1.786612588857773,0.20680628716945648,1.786100268988085
6,0.2215973,1.7850776592979818,0.20680628716945648,1.785280821211051
7,0.2215973,1.7854705733845284,0.20680628716945648,1.7845004328882508
8,0.2215973,1.7833277125192306,0.20680628716945648,1.7837805417195665
9,0.2215973,1.7823098283784864,0.20680628716945648,1.783019767381758
10,0.2215973,1.7814983660512351,0.20680628716945648,1.7825534406132724
11,0.2215973,1.7807669332512854,0.20680628716945648,1.7821342870202987
