epoch,accuracy,loss,val_accuracy,val_loss
0,0.20697413,5.732273625040215,0.16492146253585815,1218.3554425464251
1,0.28796402,2.417851995161333,0.14659686386585236,1501.1055684514072
2,0.32845894,2.0520065501248475,0.16492146253585815,1974.402816692572
3,0.4128234,1.6979145385551238,0.16492146253585815,2035.471911685005
4,0.46906638,1.482007722350422,0.16492146253585815,2554.72198646106
5,0.4105737,1.8337228351824733,0.16492146253585815,2641.7892734068228
6,0.4825647,1.573857056947071,0.16492146253585815,1752.5290329219158
7,0.4623172,1.854340093342338,0.19109947979450226,1790.9523133282887
8,0.45781776,2.0004192512939163,0.16492146253585815,2333.6876648907887
9,0.49156356,1.6347665373734601,0.20680628716945648,1813.90371975724
10,0.46119234,1.9376128334028246,0.20680628716945648,1832.681181742883
11,0.48143983,1.703255389350874,0.1780104786157608,2187.9004340845877
12,0.5320585,1.4911407403924468,0.16492146253585815,2915.720070404532
13,0.57030374,1.4515053064670285,0.16492146253585815,2292.216872290167
14,0.57030374,1.2038219872824387,0.15445026755332947,2358.5928552437827
15,0.57255346,1.1953048184430237,0.20680628716945648,1919.1660578063645
16,0.54105735,1.2962905708930892,0.1963350772857666,2546.730049492801
17,0.59505063,1.2434123788695233,0.16492146253585815,2249.701003149542
18,0.64904386,1.0249979377999752,0.16492146253585815,2813.40555592482
19,0.6119235,1.147313501287767,0.21204188466072083,2321.2646970099804
20,0.6096738,1.1444633590357107,0.20680628716945648,2041.5997129110765
21,0.59505063,1.2507649259170344,0.16492146253585815,2341.175970427029
22,0.5883015,1.2549733414290591,0.2041884809732437,2371.4036667109785
23,0.57255346,1.3265628463371801,0.20680628716945648,1901.3820481225457
24,0.6119235,1.174924861727737,0.20680628716945648,2756.5488345161157
25,0.6062992,1.2912301338697847,0.16492146253585815,2013.405639009326
26,0.55455565,1.4282217406582913,0.16492146253585815,2774.453831857412
27,0.62429696,1.210307497778411,0.20680628716945648,2352.6265594322645
28,0.69178855,0.9132267405667643,0.0890052393078804,2213.446103720141
29,0.6152981,1.1229632347319338,0.20680628716945648,2682.328712982657
